ID,CER_Global,CER_Name,CER_Vorname,CER_Geb-Dat,TED
79649988,0.23,0.38,0.0,0.0,0.78
79838202,0.08,0.0,0.4,0.0,0.8
79505790,0.18,0.2,0.0,0.0,0
79862060,0.0,0.0,0.0,0.0,1.0
79770997,0.04,0.0,0.17,0.0,0.8
79290619,0.05,0.0,0.0,0.1,0.8
78929553,0.15,0.0,0.29,0.2,0.6
79555953,0.04,0.1,0.0,0.0,0.8
79616269,1.0,1.0,1.0,1.0,0.11
79928485,0.03,0.11,0.0,0.0,0.8
79655593,1.0,1.0,1.0,0.5,0.11
78933036,1.0,1.0,1.0,1.0,0.2
79757683,0.08,0.0,0.33,0.0,0.8
79289092,0.04,0.12,0.0,0.0,0.8
79494402,0.0,0.0,0.0,0.0,1.0
79233831,0.04,0.0,0.0,0.1,0.8
79922933,0.07,0.0,0.0,0.2,0.8
79136103,0.0,0.0,0.0,0.0,1.0
79310975,0.08,0.0,0.14,0.1,0.6
79333561,0.17,0.15,0.6,0.0,0.6
79016323,0.0,0.0,0.0,0.0,1.0
79915372,0.1,0.07,0.0,0.07,0
79463738,0.0,0.0,0.0,0.0,1.0
79714994,0.16,0.18,0.0,0.0,0.62
79028203,0.03,0.0,0.12,0.0,0.8
79476087,0.32,0.67,0.0,0.1,0.6
79622677,0.12,0.0,0.2,0.2,0.6
78909145,0.04,0.0,0.14,0.0,0.8
79436029,0.0,0.0,0.0,0.0,0.11
78888145,0.12,0.2,0.11,0.1,0.4
79044085,0.01,0.0,0.05,0.0,0.62
79805118,1.0,1.0,1.0,1.0,0.2
78889416,0.0,0.0,0.0,0.0,1.0
78988908,0.28,0.38,0.0,0.05,0.78
78917631,0.03,0.0,0.14,0.0,0.8
79156282,0.04,0.0,0.17,0.0,0.8
79513067,1.0,1.0,1.0,1.0,0
78971095,0.13,0.2,0.17,0.1,0.4
79114542,0.07,0.12,0.11,0.0,0.6
78927704,0.08,0.12,0.0,0.1,0.6
79932727,0.08,0.17,0.0,0.1,0.6
79394272,0.48,0.11,1.0,0.6,0.4
79386836,0.0,0.0,0.0,0.0,1.0
79898989,0.25,0.14,0.12,0.1,0
78962030,0.0,0.0,0.0,0.0,1.0
79614436,0.04,0.12,0.0,0.0,0.8
79959375,0.03,0.0,0.0,0.1,0.8
79070826,0.05,0.0,0.0,0.1,0.8
79921281,0.07,0.0,0.13,0.12,0.71
79292754,0.0,0.0,0.0,0.0,1.0
AVG,0.18,0.17,0.19,0.14,0.64
